Step_Name,Cleaned_Operation
磨（工具）检验 PII-G39789000(PS-A),工具磨检验
粘胶,粘胶
粘胶检验,粘胶检验
精洗,精洗
精洗 DMR-00019419,精洗
精洗 WI-005,精洗
精洗WI-005,精洗
纵切,纵切车
纵切 WI-ED-019,纵切车
纵切PS-54340000-10,纵切车
纵切外协,纵切车(外协)
纵切外协检验,纵切检验
纵切检验,纵切检验
纵切车,纵切车
纵切车(可外协),纵切车(外协)
纵切车（可外协）,纵切车(外协)
线切割,线切割
线切割 WI-051,线切割
线切割 WI-210,线切割
线切割(中走丝),线切割(中走丝)
线切割(中走丝)WI-051,线切割(中走丝)
线切割(中走丝)检验,线切割(中走丝)检验
线切割(中走丝)检验 PII-G181060,线切割(中走丝)检验
线切割(可外协),线切割(外协)
线切割(外协),线切割(外协)
线切割-慢丝,线切割-慢丝
线切割-慢丝(可外协,线切割-慢丝(可(外协)
线切割-慢丝(可外协),线切割-慢丝(外协)
线切割-慢丝（可外协）,线切割-慢丝(外协)
线切割WI-051,线切割
线切割外协,线切割(外协)
线切割外协检验,线切割检验
线切割检验,线切割检验
线切割检验 详细参见检验指导书,线切割检验 详细参见检验指导书
线切割检验PII-G139130-01,线切割检验
线切割检验PII-G256105-01,线切割检验
线切割（可外协）,线切割(外协)
线切割（可外协）-众志达,线切割-众志达(外协)
线切割（外协）,线切割(外协)
组装,组装
终检,终检
终检 PII-C00017,终检
终检 PII-C00018,终检
终检 PII-C00021,终检
终检 PII-C00027,终检
终检 PII-C00028,终检
终检 PII-C00031,终检
终检 PII-C00355,终检
终检 PII-C00363,终检
终检 PII-C00364,终检
终检 PII-C00372,终检
终检 PII-C00373,终检
终检 PII-C00391,终检
终检 PII-C00633,终检
终检 PII-C00635,终检
终检 PII-C00637,终检
终检 PII-C00638,终检
终检 PII-C00644,终检
终检 PII-C00658,终检
终检 PII-G02304,终检
终检 PII-G181060-01,终检
终检 参见相关检验文件,终检 参见相关检验文件
终检PII-C00027,终检
终检PII-C00535,终检
终检PII-C00564,终检
终检PII-C00637,终检
终检PII-C00644,终检
终检PII-C00652,终检
终检PII-C54340000,终检
终检PII-COO017,终检
终检PII-COO363,终检
终检参见相关检验文件,终检参见相关检验文件
终检检验PII-G02211,终检检验
终验,终验
终验参见产品检验指导书,终验参见产品检验指导书
荧光检验,荧光检验
菌检,菌检
