分类         ,Material Number    ,CFN                ,Group    ,Ver. ,Plant ,Operation/activity ,Operation description ,OEE  ,调试时间   ,备注
器械         ,00643169655737     ,9010002074         ,50210277 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655744     ,9010002075         ,50210278 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655744     ,9010002075         ,50210278 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655751     ,9010002076         ,50210279 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655751     ,9010002076         ,50210279 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655768     ,9010002077         ,50210280 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655768     ,9010002077         ,50210280 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655775     ,9010002078         ,50210281 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655775     ,9010002078         ,50210281 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655782     ,9010002079         ,50210282 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655782     ,9010002079         ,50210282 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655799     ,9010002080         ,50210283 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655799     ,9010002080         ,50210283 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655805     ,9010002081         ,50210284 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655805     ,9010002081         ,50210284 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655812     ,9010002082         ,50210285 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655812     ,9010002082         ,50210285 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655829     ,9010002083         ,50210286 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655829     ,9010002083         ,50210286 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655836     ,9010002084         ,50210287 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655836     ,9010002084         ,50210287 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655843     ,9010002085         ,50210288 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655843     ,9010002085         ,50210288 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655850     ,9010002086         ,50210289 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655850     ,9010002086         ,50210289 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655867     ,9010002087         ,50210290 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655867     ,9010002087         ,50210290 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655874     ,9010002088         ,50210291 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655874     ,9010002088         ,50210291 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655881     ,9010002089         ,50210292 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655881     ,9010002089         ,50210292 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655898     ,9010002090         ,50210293 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655898     ,9010002090         ,50210293 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655904     ,9010002091         ,50210294 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655904     ,9010002091         ,50210294 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655911     ,9010002092         ,50210295 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655911     ,9010002092         ,50210295 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655928     ,9010002093         ,50210296 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169655928     ,9010002093         ,50210296 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169699977     ,3602102            ,50196588 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00643169699977     ,3602102            ,50196588 ,PV01 , 1303 ,                30 ,数控铣                   ,0.3  ,   1.0 ,
器械         ,00643169714656     ,5580116            ,50205206 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169744356     ,5330030            ,50199495 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00643169754508     ,6550003            ,50208611 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00643169963061     ,8530623            ,50210049 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169984844     ,8530624            ,50210055 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169984851     ,8530625            ,50210063 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00673978035482     ,803-291            ,50271662 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00673978045085     ,815-517            ,50209995 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00673978045092     ,815-518            ,50209996 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00673978070759     ,876-404            ,50210187 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00673978783512     ,8796003            ,50210188 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00681490482486     ,6860404            ,50209396 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00681490520119     ,8756450            ,50210170 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00681490886536     ,6905785            ,50272222 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00681490886536     ,6905785            ,50272222 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00721902458583     ,9560431            ,50210354 ,PV01 , 1303 ,                10 ,车削（可外协）               ,0.0  , 560.0 ,
